,Player,Team,Team within selected timeframe,Liga,Position,Age,Height,Birth country,Passport country,Contract expires,Foot,Matches played,Minutes played,Gol y Finalización,Asistencias y creación de chances,1v1 en ataque,Centros,Juego asociado,Juego aéreo,Defensa
0,J. Bellingham,Real Madrid,Real Madrid,España | Primera División 24/25,"AMF, LW, LCMF",21.0,186,England,"England, Republic of Ireland",2029-06-30,right,28,2413,66.93,74.07,85.97,54.66,91.24,50.71,85.12
1,K. Mbappé,Real Madrid,Real Madrid,España | Primera División 24/25,CF,26.0,180,France,"France, Cameroon",2029-06-30,right,30,2733,94.86,88.49,88.03,61.26,80.56,36.53,4.69
2,Vinícius Júnior,Real Madrid,Real Madrid,España | Primera División 24/25,"CF, LAMF, LWF",24.0,176,Brazil,"Brazil, Spain",2027-06-30,right,28,2284,77.61,91.52,94.13,89.66,79.37,7.85,27.18
3,J. Álvarez,Atlético Madrid,Atlético Madrid,España | Primera División 24/25,"CF, LW",25.0,170,Argentina,Argentina,2030-06-30,right,34,2451,88.91,79.71,63.4,71.17,67.09,25.22,63.93
4,Dani Olmo,Barcelona,Barcelona,España | Primera División 24/25,"AMF, RCMF",26.0,179,Spain,Spain,2030-06-30,right,21,1139,89.08,87.75,71.38,58.93,88.5,51.34,55.62
5,Mikel Oyarzabal,Real Sociedad,Real Sociedad,España | Primera División 24/25,CF,28.0,181,Spain,Spain,2028-06-30,left,31,2147,67.77,44.52,20.41,48.01,50.83,32.31,32.65
6,Oihan Sancet,Athletic Bilbao,Athletic Bilbao,España | Primera División 24/25,"AMF, CF",25.0,188,Spain,Spain,2032-06-30,right,25,1588,93.77,46.73,91.48,55.0,76.97,61.66,54.33
7,Vitor Roque,Palmeiras,Real Betis,España | Primera División 24/25,CF,20.0,174,Brazil,Brazil,2031-06-30,right,22,1358,65.75,41.92,63.13,50.19,30.19,33.03,34.44
8,Ferrán Torres,Barcelona,Barcelona,España | Primera División 24/25,"CF, LAMF, LWF",25.0,184,Spain,Spain,2027-06-30,right,26,1148,92.55,73.49,62.72,69.81,74.08,20.72,24.37
9,A. Griezmann,Atlético Madrid,Atlético Madrid,España | Primera División 24/25,CF,34.0,176,France,France,2026-06-30,left,34,2520,63.82,84.23,44.66,79.22,84.03,44.98,49.71
10,A. Sørloth,Atlético Madrid,Atlético Madrid,España | Primera División 24/25,CF,29.0,195,Norway,Norway,2028-06-30,left,31,1483,94.5,48.0,37.09,10.78,31.94,97.86,16.08
11,Gorka Guruzeta,Athletic Bilbao,Athletic Bilbao,España | Primera División 24/25,CF,28.0,188,Spain,Spain,2028-06-30,right,33,1772,68.22,34.71,18.08,10.63,46.65,61.38,58.5
12,Isaac Romero,Sevilla,Sevilla,España | Primera División 24/25,CF,24.0,184,Spain,Spain,2028-06-30,left,29,2276,50.71,48.07,57.6,44.56,31.24,51.34,57.9
13,Á. Correa,Atlético Madrid,Atlético Madrid,España | Primera División 24/25,"CF, RW",30.0,171,Argentina,"Argentina, Spain",2026-06-30,right,27,858,67.53,70.5,82.5,92.04,67.14,10.03,66.73
14,Hugo Duro,Valencia,Valencia,España | Primera División 24/25,CF,25.0,177,Spain,Spain,2028-06-30,left,27,2148,80.23,36.63,32.96,38.16,46.63,64.52,21.03
15,G. Lo Celso,Real Betis,Real Betis,España | Primera División 24/25,"AMF, CF, RAMF",29.0,177,Argentina,"Argentina, Italy",2028-06-30,left,22,1456,80.24,87.19,69.85,81.17,93.25,26.34,79.83
16,Borja Mayoral,Getafe,Getafe,España | Primera División 24/25,CF,28.0,182,Spain,Spain,2027-06-30,right,20,970,67.3,40.17,40.39,30.78,41.63,44.25,29.07
17,André Almeida,Valencia,Valencia,España | Primera División 24/25,"AMF, CF, LW",24.0,176,Portugal,Portugal,2028-06-30,right,31,1928,13.49,71.45,66.14,84.56,86.6,6.49,90.34
18,R. Lewandowski,Barcelona,Barcelona,España | Primera División 24/25,CF,36.0,185,Poland,Poland,2026-06-30,right,31,2652,96.87,64.95,39.51,25.1,46.26,55.78,12.8
19,Álvaro Djaló,Athletic Bilbao,Athletic Bilbao,España | Primera División 24/25,"CF, RAMF, LAMF",25.0,175,Spain,"Spain, Guinea-Bissau",2029-06-30,right,16,670,35.73,45.58,86.89,72.91,31.63,31.56,79.98
20,Juanlu Sánchez,Sevilla,Sevilla,España | Primera División 24/25,"AMF, RB, CF",21.0,183,Spain,Spain,2029-06-30,right,28,1546,53.2,59.38,34.22,71.26,56.77,65.88,86.1
21,A. Danjuma,Girona,Girona,España | Primera División 24/25,"CF, LAMF, LW",28.0,178,Nigeria,"Nigeria, Netherlands",2026-06-30,right,26,1647,55.62,71.95,94.25,92.52,54.49,41.87,34.72
22,C. Hernández,Real Betis,Real Betis,España | Primera División 24/25,CF,26.0,176,Colombia,"Colombia, Spain",2025-12-31,right,11,916,62.15,55.16,66.77,43.35,61.55,56.75,38.08
23,K. Iheanacho,Middlesbrough,Sevilla,España | Primera División 24/25,"CF, LWF",28.0,185,Nigeria,Nigeria,2026-06-30,left,9,439,26.9,25.51,21.55,10.87,33.08,51.15,2.65
