,Player,Team,Team within selected timeframe,Liga,Position,Age,Height,Birth country,Passport country,Contract expires,Foot,Matches played,Minutes played,Gol y Finalización,Asistencias y creación de chances,1v1 en ataque,Progresion de pelota,Juego asociado,Juego aéreo,1v1 en defensa,Defensa
0,A. Tchouaméni,Real Madrid,Real Madrid,España | Primera División 24/25,"RCB, DMF, RCMF",25.0,188,France,"France, Cameroon",2028-06-30,right,29,2682,44.03,62.52,85.83,56.29,71.92,73.5,52.84,60.73
1,R. Araújo,Barcelona,Barcelona,España | Primera División 24/25,RCB,26.0,188,Uruguay,Uruguay,2031-06-30,right,10,702,82.53,89.5,54.47,81.21,96.24,95.16,66.12,26.82
2,Éder Militão,Real Madrid,Real Madrid,España | Primera División 24/25,"RCB, LCB",27.0,186,Brazil,"Brazil, Spain",2028-06-30,right,12,1021,77.38,80.04,59.13,71.33,68.67,54.13,75.97,54.3
3,A. Christensen,Barcelona,Barcelona,España | Primera División 24/25,"LCB, RCB",29.0,187,Denmark,Denmark,2026-06-30,right,2,133,25.9,22.25,8.33,67.69,73.74,82.73,0.97,7.3
4,Robin Le Normand,Atlético Madrid,Atlético Madrid,España | Primera División 24/25,"RCB, LCB",28.0,187,France,"France, Spain",2029-06-30,right,24,2069,42.5,56.5,60.0,27.01,58.59,59.96,37.28,16.07
5,N. Aguerd,Real Sociedad,Real Sociedad,España | Primera División 24/25,LCB,29.0,190,Morocco,Morocco,2027-06-30,left,21,1892,56.51,46.54,68.83,86.8,66.75,79.81,85.34,62.22
6,Cristhian Mosquera,Valencia,Valencia,España | Primera División 24/25,"LCB, CB, RCB",20.0,188,Spain,"Spain, Colombia",2026-06-30,right,33,3274,59.16,27.57,44.98,42.96,60.24,21.85,64.0,44.62
7,Dani Vivian,Athletic Bilbao,Athletic Bilbao,España | Primera División 24/25,RCB,25.0,183,Spain,Spain,2032-06-30,right,28,2517,88.28,75.39,65.49,88.42,75.7,28.99,41.17,72.57
8,A. Rüdiger,Real Madrid,Real Madrid,España | Primera División 24/25,LCB,32.0,190,Germany,"Germany, Sierra Leone",2026-06-30,right,29,2522,47.54,70.19,61.24,70.17,69.76,40.59,46.65,29.38
9,Aitor Paredes,Athletic Bilbao,Athletic Bilbao,España | Primera División 24/25,LCB,25.0,186,Spain,Spain,2029-06-30,right,21,1780,90.82,34.51,14.2,55.12,42.52,51.95,28.86,55.36
10,Igor Zubeldía,Real Sociedad,Real Sociedad,España | Primera División 24/25,RCB,28.0,181,Spain,Spain,2029-06-30,right,25,2217,36.24,62.01,66.14,55.17,57.16,44.3,54.61,54.11
11,J. Giménez,Atlético Madrid,Atlético Madrid,España | Primera División 24/25,"RCB, CB, LCB",30.0,185,Uruguay,"Uruguay, Spain",2028-06-30,right,25,2018,34.6,46.77,70.56,37.31,63.2,58.11,67.01,67.75
12,D. Alaba,Real Madrid,Real Madrid,España | Primera División 24/25,LCB,32.0,180,Austria,Austria,2026-06-30,left,7,344,25.9,66.9,8.33,55.75,66.8,54.43,2.86,44.01
13,Eric García,Barcelona,Barcelona,España | Primera División 24/25,"RCB, RDMF, DMF",24.0,182,Spain,Spain,2026-06-30,right,25,1386,77.0,86.3,67.09,76.04,93.59,43.95,43.54,54.17
14,Jon Pacheco,Real Sociedad,Real Sociedad,España | Primera División 24/25,LCB,24.0,184,Spain,Spain,2030-06-30,left,13,859,25.9,38.92,57.33,49.59,48.79,52.12,72.99,47.03
15,J. Foyth,Villarreal,Villarreal,España | Primera División 24/25,"RCB, RB",27.0,187,Argentina,"Argentina, Spain",2026-06-30,right,16,1386,77.2,73.31,35.39,77.48,53.11,48.65,39.22,70.98
