,Player,Team,Team within selected timeframe,Liga,Position,Age,Height,Birth country,Passport country,Contract expires,Foot,Matches played,Minutes played,Gol y Finalización,Asistencias y creación de chances,1v1 en ataque,Centros,Juego asociado,Juego aéreo,Defensa
0,Rodrygo,Real Madrid,Real Madrid,España | Primera División 24/25,"RAMF, CF, RWF",24.0,174,Brazil,"Brazil, Spain",2028-06-30,right,30,2077,87.32,70.38,70.26,31.43,78.38,21.38,35.27
1,Nico Williams,Athletic Bilbao,Athletic Bilbao,España | Primera División 24/25,"LAMF, LW",22.0,181,Spain,"Spain, Ghana",2027-06-30,right,28,2068,79.34,79.9,78.38,80.19,54.52,36.67,12.89
2,T. Kubo,Real Sociedad,Real Sociedad,España | Primera División 24/25,"RW, RWF",23.0,173,Japan,Japan,2029-06-30,left,32,2215,76.98,62.04,87.38,46.86,63.93,54.67,55.74
3,Raphinha,Barcelona,Barcelona,España | Primera División 24/25,"LAMF, LWF, AMF",28.0,176,Brazil,"Brazil, Italy",2027-06-30,left,32,2766,98.44,92.2,54.71,81.71,75.76,65.09,27.89
4,C. Gallagher,Atlético Madrid,Atlético Madrid,España | Primera División 24/25,"LW, LCMF",25.0,182,England,"England, Republic of Ireland",2029-06-30,right,28,1675,61.14,39.08,42.26,12.86,78.81,54.18,79.02
5,A. Güler,Real Madrid,Real Madrid,España | Primera División 24/25,"RAMF, RW, AMF",20.0,175,Türkiye,Türkiye,2029-06-30,left,24,1053,80.8,85.92,46.31,26.43,94.76,58.12,70.12
6,Álex Baena,Villarreal,Villarreal,España | Primera División 24/25,LW,23.0,174,Spain,Spain,2028-06-30,right,28,2484,79.43,93.46,54.4,74.76,77.1,40.38,41.07
7,Brahim Diaz,Real Madrid,Real Madrid,España | Primera División 24/25,"RW, RAMF, LAMF",25.0,170,Spain,"Spain, Morocco",2027-06-30,right,29,1430,79.45,69.32,43.64,35.14,84.48,26.4,24.47
8,Yéremy Pino,Villarreal,Villarreal,España | Primera División 24/25,"RW, LW",22.0,172,Spain,Spain,2027-06-30,right,30,1799,62.65,75.61,26.83,52.57,67.33,54.09,80.44
9,V. Tsygankov,Girona,Girona,España | Primera División 24/25,"RAMF, RWF, RW",27.0,178,Israel,"Israel, Ukraine",2027-06-30,left,23,1707,55.14,70.55,59.45,70.95,54.74,61.09,35.64
10,Samuel Lino,Atlético Madrid,Atlético Madrid,España | Primera División 24/25,"LW, LB, LCMF",25.0,170,Brazil,Brazil,2027-06-30,right,27,1404,71.64,59.39,62.83,63.19,77.14,72.48,66.31
11,Rodrigo Riquelme,Atlético Madrid,Atlético Madrid,España | Primera División 24/25,"LB, LW, RW",25.0,174,Spain,Spain,2028-06-30,right,16,606,37.18,67.49,64.74,76.38,66.19,40.09,37.45
12,Iñaki Williams,Athletic Bilbao,Athletic Bilbao,España | Primera División 24/25,"RAMF, RW",30.0,186,Spain,"Spain, Ghana",2028-06-30,right,33,2827,75.81,85.73,55.29,73.62,52.79,71.52,26.47
13,Ansu Fati,Barcelona,Barcelona,España | Primera División 24/25,LAMF,22.0,178,Guinea-Bissau,"Guinea-Bissau, Spain",2027-06-30,right,6,254,44.11,41.08,27.71,5.1,81.98,41.67,53.25
14,Antony,Real Betis,Real Betis,España | Primera División 24/25,"RAMF, RW",25.0,174,Brazil,Brazil,2027-06-30,left,13,1187,84.93,77.89,79.31,51.71,87.19,27.19,44.08
15,Ander Barrenetxea,Real Sociedad,Real Sociedad,España | Primera División 24/25,LW,23.0,175,Spain,Spain,2030-06-30,right,26,1218,49.64,69.96,52.76,61.67,50.43,41.48,64.57
16,M. Aarons,Valencia,Valencia,España | Primera División 24/25,"RB, RW",25.0,171,England,"England, Jamaica",,right,2,109,19.89,16.99,14.71,51.05,35.29,57.95,50.42
17,Alberto Moleiro,Las Palmas,Las Palmas,España | Primera División 24/25,"LAMF, LW",21.0,172,Spain,"Spain, Cuba",2026-06-30,right,32,2701,79.75,51.25,50.45,29.9,70.67,18.86,22.76
18,Ilias Akhomach,Villarreal,Villarreal,España | Primera División 24/25,"RW, RAMF",21.0,174,Spain,"Spain, Morocco",2026-06-30,left,11,644,55.75,57.66,91.52,53.05,58.1,81.28,76.5
19,Bryan Gil,Girona,Girona,España | Primera División 24/25,"LAMF, LW, LWF",24.0,175,Spain,Spain,2026-06-30,left,25,1864,64.27,61.72,71.79,65.33,63.14,21.89,64.48
20,Diego López,Valencia,Valencia,España | Primera División 24/25,"RW, LW, LAMF",22.0,172,Spain,Spain,2027-06-30,right,34,2688,81.53,71.21,29.14,61.05,58.29,42.17,50.04
21,D. Lukébakio,Sevilla,Sevilla,España | Primera División 24/25,"RAMF, RW, RWF",27.0,187,Belgium,"Belgium, Congo DR",2028-06-30,left,34,3089,92.73,58.99,68.05,32.24,56.4,46.98,15.96
22,Álex Berenguer,Athletic Bilbao,Athletic Bilbao,España | Primera División 24/25,"LAMF, AMF, CF",29.0,175,Spain,Spain,2027-06-30,right,33,2212,75.92,63.49,49.5,46.95,63.24,73.74,39.87
23,Bryan Zaragoza,Osasuna,Osasuna,España | Primera División 24/25,"LW, LWF",23.0,164,Spain,Spain,2029-06-30,right,23,1633,52.07,73.28,86.33,92.0,47.33,15.52,19.53
24,S. Becker,Real Sociedad,Real Sociedad,España | Primera División 24/25,"RW, LW, CF",30.0,180,Netherlands,"Netherlands, Suriname",2026-06-30,right,22,1102,67.05,52.97,73.79,79.71,45.62,35.69,11.65
25,Sergio Gómez,Real Sociedad,Real Sociedad,España | Primera División 24/25,"LW, RW, LB",24.0,173,Spain,Spain,2030-06-30,left,33,2732,48.88,70.8,21.26,58.0,73.1,49.69,73.07
26,T. Lemar,Atlético Madrid,Atlético Madrid,España | Primera División 24/25,"LW, RW, RCMF",29.0,171,Guadeloupe,"Guadeloupe, France",2027-06-30,left,4,93,35.35,53.6,16.52,4.86,69.95,8.17,63.33
27,L. Ocampos,Monterrey,Sevilla,España | Primera División 24/25,"LW, RW",30.0,188,Argentina,"Argentina, Spain",2027-06-30,right,2,193,37.9,75.82,25.57,63.81,55.4,91.71,61.86
28,R. Vargas,Sevilla,Sevilla,España | Primera División 24/25,"LAMF, LWF, LW",26.0,177,Switzerland,"Switzerland, Dominican Republic",2025-06-30,right,11,716,75.71,62.26,67.71,41.33,42.05,70.57,34.59
29,Y. Asprilla,Girona,Girona,España | Primera División 24/25,"RAMF, RW, AMF",21.0,185,Colombia,Colombia,2030-06-30,left,23,1258,71.7,57.18,76.88,70.81,82.52,61.43,36.5
30,A. Ezzalzouli,Real Betis,Real Betis,España | Primera División 24/25,"LAMF, LW",23.0,177,Morocco,"Morocco, Spain",2029-06-30,right,28,1903,63.89,59.88,82.4,31.62,63.81,60.67,54.83
31,Fran Pérez,Valencia,Valencia,España | Primera División 24/25,"RW, RAMF",22.0,175,Spain,Spain,2026-06-30,right,22,573,21.68,65.11,60.67,63.52,39.55,48.59,74.78
32,Iván Jaime,Valencia,Valencia,España | Primera División 24/25,"LW, RW, AMF",24.0,180,Spain,Spain,2028-06-30,right,5,220,24.57,53.8,46.48,50.29,55.9,87.52,26.78
33,T. Buchanan,Villarreal,Villarreal,España | Primera División 24/25,"RW, LW",26.0,183,Canada,"Canada, Jamaica",2028-06-30,right,10,357,25.93,58.25,83.1,77.43,39.69,75.83,57.62
34,C. Ejuke,Sevilla,Sevilla,España | Primera División 24/25,"LAMF, LWF, LW",27.0,176,Nigeria,Nigeria,2027-06-30,right,23,1070,66.09,51.33,78.81,36.38,73.29,15.45,27.17
35,Robert Navarro,Mallorca,Mallorca,España | Primera División 24/25,"RW, RAMF, LW",23.0,178,Spain,Spain,2025-06-30,right,23,1362,48.67,39.63,62.88,38.29,61.43,28.24,85.58
36,Sergi Darder,Mallorca,Mallorca,España | Primera División 24/25,"LW, LCMF",31.0,180,Spain,Spain,2028-06-30,right,34,2548,39.23,68.26,40.38,44.81,71.0,59.9,19.13
37,L. Romero,Cruz Azul,Deportivo Alavés,España | Primera División 24/25,"RAMF, CF, LW",20.0,169,Argentina,"Argentina, Spain",2027-06-30,left,6,237,35.65,42.06,40.24,74.24,20.4,43.38,73.99
38,W. Swedberg,Celta de Vigo,Celta de Vigo,España | Primera División 24/25,"LWF, LW, AMF",21.0,187,Sweden,Sweden,2027-06-30,right,28,1290,82.19,49.54,40.4,22.57,52.07,44.81,40.89
39,T. Conechny,Deportivo Alavés,Deportivo Alavés,España | Primera División 24/25,"LW, LAMF",27.0,176,Argentina,"Argentina, Poland",2028-06-30,left,19,890,59.37,38.7,6.43,83.71,45.14,79.45,55.24
40,T. Allende,Inter Miami,Celta de Vigo,España | Primera División 24/25,RWF,26.0,183,Argentina,"Argentina, Italy",2028-06-30,right,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Suso,Sevilla,Sevilla,España | Primera División 24/25,"RAMF, AMF, LAMF",31.0,176,Spain,Spain,2025-06-30,left,12,373,36.94,64.89,67.07,61.33,95.9,59.55,63.06
42,Luis Rioja,Valencia,Valencia,España | Primera División 24/25,"LW, RW, RAMF",31.0,175,Spain,Spain,2026-06-30,left,33,2817,62.22,56.52,69.12,73.52,57.4,51.9,37.71
43,Jorge de Frutos,Rayo Vallecano,Rayo Vallecano,España | Primera División 24/25,"RAMF, RW",28.0,173,Spain,Spain,2028-06-30,right,32,2381,66.15,56.55,43.62,54.95,43.33,48.67,46.64
44,Álex Sola,Getafe,Getafe,España | Primera División 24/25,"LW, LAMF, RW",25.0,178,Spain,Spain,2027-06-30,right,19,1123,23.15,24.46,47.17,41.24,18.4,74.95,56.42
