,Player,Team,Team within selected timeframe,Liga,Position,Age,Height,Birth country,Passport country,Contract expires,Foot,Matches played,Minutes played,Gol y Finalización,Asistencias y creación de chances,1v1 en ataque,Centros,Juego asociado,Juego aéreo,1v1 en defensa,Defensa
0,F. Valverde,Real Madrid,Real Madrid,España | Primera División 24/25,"RDMF, LDMF, RB",26.0,182,Uruguay,"Uruguay, Spain",2029-06-30,right,32,2916,91.68,78.69,43.78,18.87,93.67,64.87,40.04,56.63
1,E. Camavinga,Real Madrid,Real Madrid,España | Primera División 24/25,"LCMF, LB, LDMF",22.0,185,Angola,"Angola, France",2029-06-30,left,19,1222,73.42,40.57,77.54,65.04,75.57,71.83,57.87,84.27
2,J. Koundé,Barcelona,Barcelona,España | Primera División 24/25,RB,26.0,180,France,"France, Benin",2027-06-30,right,32,2868,78.23,80.15,37.59,56.48,85.7,83.24,61.78,65.28
3,Marcos Llorente,Atlético Madrid,Atlético Madrid,España | Primera División 24/25,"RB, RW",30.0,184,Spain,Spain,2027-06-30,right,29,2368,76.85,74.94,65.65,62.43,64.02,41.96,49.61,38.04
4,Samuel Lino,Atlético Madrid,Atlético Madrid,España | Primera División 24/25,"LW, LB, LCMF",25.0,170,Brazil,Brazil,2027-06-30,right,27,1404,87.43,79.57,87.15,62.0,61.33,51.98,42.22,42.75
5,N. Molina,Atlético Madrid,Atlético Madrid,España | Primera División 24/25,RB,27.0,175,Argentina,Argentina,2027-06-30,right,26,1569,38.91,76.79,47.59,31.22,61.0,47.87,45.61,55.33
6,Miguel Gutiérrez,Girona,Girona,España | Primera División 24/25,"LB, LWB",23.0,180,Spain,Spain,2027-06-30,left,29,2686,72.08,86.81,62.83,80.17,73.28,21.31,9.0,18.89
7,Rodrigo Riquelme,Atlético Madrid,Atlético Madrid,España | Primera División 24/25,"LB, LW, RW",25.0,174,Spain,Spain,2028-06-30,right,16,606,58.04,81.49,81.0,72.39,52.78,25.48,13.52,5.71
8,José Gayá,Valencia,Valencia,España | Primera División 24/25,LB,29.0,172,Spain,Spain,2027-06-30,left,20,1710,46.58,83.5,32.85,92.09,74.37,33.39,47.7,43.9
9,F. Mendy,Real Madrid,Real Madrid,España | Primera División 24/25,LB,29.0,180,France,"France, Senegal",2025-06-30,left,14,1089,27.87,35.19,27.43,5.04,72.37,32.26,9.22,39.03
10,M. Aarons,Valencia,Valencia,España | Primera División 24/25,"RB, RW",25.0,171,England,"England, Jamaica",,right,2,109,27.87,22.5,39.46,56.09,18.07,41.65,59.43,24.88
11,J. Foyth,Villarreal,Villarreal,España | Primera División 24/25,"RCB, RB",27.0,187,Argentina,"Argentina, Spain",2026-06-30,right,16,1386,77.2,38.94,12.33,63.17,65.39,81.39,39.83,72.59
12,Fran García,Real Madrid,Real Madrid,España | Primera División 24/25,LB,25.0,169,Spain,Spain,2027-06-30,left,27,2003,51.82,51.9,38.63,43.91,51.04,46.05,61.43,56.75
13,Juanlu Sánchez,Sevilla,Sevilla,España | Primera División 24/25,"AMF, RB, CF",21.0,183,Spain,Spain,2029-06-30,right,28,1546,95.4,65.13,35.24,34.87,28.48,67.59,35.39,41.43
