,Player,Team,Team within selected timeframe,Liga,Position,Age,Height,Birth country,Passport country,Contract expires,Foot,Matches played,Minutes played,Gol y Finalización,Asistencias y creación de chances,1v1 en ataque,Progresion de pelota,Juego asociado,Juego aéreo,1v1 en defensa,Defensa
0,F. Valverde,Real Madrid,Real Madrid,España | Primera División 24/25,"RDMF, LDMF, RB",26.0,182,Uruguay,"Uruguay, Spain",2029-06-30,right,32,2916,87.94,83.41,49.0,90.22,83.19,57.5,50.69,61.98
1,E. Camavinga,Real Madrid,Real Madrid,España | Primera División 24/25,"LCMF, LB, LDMF",22.0,185,Angola,"Angola, France",2029-06-30,left,19,1222,59.98,46.77,81.19,64.62,73.47,62.07,72.25,90.96
2,A. Tchouaméni,Real Madrid,Real Madrid,España | Primera División 24/25,"RCB, DMF, RCMF",25.0,188,France,"France, Cameroon",2028-06-30,right,29,2682,34.82,33.01,60.5,63.03,63.88,87.44,60.56,73.15
3,Pedri,Barcelona,Barcelona,España | Primera División 24/25,"LDMF, LCMF",22.0,174,Spain,Spain,2030-06-30,right,33,2796,86.32,94.04,89.28,95.44,87.0,13.57,49.69,56.57
4,F. de Jong,Barcelona,Barcelona,España | Primera División 24/25,"RDMF, LDMF, DMF",27.0,181,Netherlands,Netherlands,2026-06-30,right,22,1019,74.06,85.14,79.06,95.06,69.72,54.19,51.28,43.81
5,Martín Zubimendi,Real Sociedad,Real Sociedad,España | Primera División 24/25,"DMF, RCMF",26.0,181,Spain,Spain,2027-06-30,right,32,2937,71.72,62.39,46.47,75.94,70.19,71.0,70.56,68.48
6,Y. Herrera,Girona,Girona,España | Primera División 24/25,"LDMF, RCMF, LCMF",27.0,184,Venezuela,"Venezuela, Spain",2027-06-30,right,26,2191,90.54,67.76,88.38,38.59,54.75,76.0,58.75,48.41
7,Johnny Cardoso,Real Betis,Real Betis,España | Primera División 24/25,"RDMF, LDMF, RCMF",23.0,186,United States,"United States, Italy",2029-06-30,right,25,2143,82.34,39.38,57.75,24.53,51.53,78.16,67.19,85.61
8,Eric García,Barcelona,Barcelona,España | Primera División 24/25,"RCB, RDMF, DMF",24.0,182,Spain,Spain,2026-06-30,right,25,1386,72.08,55.19,41.25,80.09,85.0,72.41,61.06,68.99
9,Javi Guerra,Valencia,Valencia,España | Primera División 24/25,"RCMF, RDMF, LCMF",21.0,187,Spain,Spain,2027-06-30,right,33,2533,81.81,74.58,56.66,71.88,33.91,22.63,30.19,25.98
10,A. Sambi Lokonga,Sevilla,Sevilla,España | Primera División 24/25,"LDMF, DMF",25.0,183,Belgium,"Belgium, Congo DR",2026-06-30,right,20,1534,39.36,51.8,63.59,67.28,75.66,49.57,47.81,42.65
11,Beñat Prados,Athletic Bilbao,Athletic Bilbao,España | Primera División 24/25,"LDMF, RDMF, RCMF",24.0,178,Spain,Spain,2031-06-30,right,28,1740,59.84,52.53,47.56,36.62,55.12,70.04,64.81,75.4
12,Arthur,Girona,Girona,España | Primera División 24/25,"DMF, RCMF, RDMF",28.0,171,Brazil,Brazil,2027-06-30,right,11,715,33.35,35.93,83.28,68.44,65.12,11.91,29.88,18.34
13,Iván Martín,Girona,Girona,España | Primera División 24/25,"RDMF, RCMF",26.0,178,Spain,Spain,2028-06-30,left,28,2002,54.84,71.69,56.09,55.41,76.38,24.44,9.66,29.9
14,Pablo Fornals,Real Betis,Real Betis,España | Primera División 24/25,"RDMF, RAMF, RW",29.0,178,Spain,Spain,2029-06-30,right,22,1660,68.77,76.12,34.97,85.09,71.12,63.82,7.25,42.57
15,Kirian Rodríguez,Las Palmas,Las Palmas,España | Primera División 24/25,"AMF, LDMF, LCMF",28.0,180,Spain,Spain,2028-06-30,right,21,1878,52.41,68.88,18.09,75.22,79.44,20.94,65.06,37.14
16,Koke,Atlético Madrid,Atlético Madrid,España | Primera División 24/25,"LCMF, DMF, RCMF",33.0,176,Spain,Spain,2025-06-30,right,28,1766,62.64,71.27,37.25,70.06,72.75,53.07,64.19,55.83
17,Stefan Bajčetić,Las Palmas,Las Palmas,España | Primera División 24/25,"LCMF, LDMF, RCMF",20.0,185,Spain,"Spain, Serbia",2027-06-30,right,12,898,57.23,56.31,58.12,60.81,40.97,45.41,52.44,89.26
18,Samú Costa,Mallorca,Mallorca,España | Primera División 24/25,"LCMF, RCMF, DMF",24.0,185,Portugal,Portugal,2028-06-30,left,28,2504,49.42,49.87,40.12,52.75,38.72,84.44,46.25,65.16
19,Marc Roca,Real Betis,Real Betis,España | Primera División 24/25,"LDMF, RDMF, LCMF",28.0,184,Spain,Spain,2029-06-30,left,14,987,85.12,71.34,6.78,72.47,50.56,17.66,57.5,68.55
20,D. Sow,Sevilla,Sevilla,España | Primera División 24/25,"LCMF, RDMF, AMF",28.0,184,Switzerland,"Switzerland, Senegal",2028-06-30,right,27,2040,63.89,46.69,40.44,28.41,42.69,48.13,35.12,32.94
21,E. Barrenechea,Valencia,Valencia,España | Primera División 24/25,"LCMF, LDMF, RCMF",23.0,186,Argentina,Argentina,2025-06-30,right,26,2053,63.33,47.84,71.28,56.59,49.62,79.38,69.88,78.98
22,Saúl Ñíguez,Sevilla,Sevilla,España | Primera División 24/25,"AMF, LDMF, LCMF",30.0,183,Spain,Spain,2026-06-30,left,22,1597,73.46,81.63,35.84,38.34,36.28,71.57,46.62,54.84
23,Antonio Blanco,Deportivo Alavés,Deportivo Alavés,España | Primera División 24/25,"LDMF, LCMF, RDMF",24.0,176,Spain,Spain,2027-06-30,right,31,2632,32.61,60.49,34.5,52.16,38.06,44.94,74.81,53.43
24,Jon Moncayola,Osasuna,Osasuna,España | Primera División 24/25,"RCMF, RDMF",26.0,182,Spain,Spain,2031-06-30,right,30,2217,47.38,71.69,34.0,59.91,21.69,31.69,73.62,30.55
25,F. Grillitsch,Real Valladolid,Real Valladolid,España | Primera División 24/25,"LCMF, RCMF, RDMF",29.0,187,Austria,Austria,2026-06-30,right,10,531,32.72,61.39,46.47,48.78,40.69,44.35,14.62,31.43
26,L. Agoumé,Sevilla,Sevilla,España | Primera División 24/25,"RDMF, DMF, RCMF",23.0,185,Cameroon,"Cameroon, France",2028-06-30,right,31,1939,56.22,73.44,67.38,62.66,64.69,77.88,36.75,49.04
27,L. Modrić,Real Madrid,Real Madrid,España | Primera División 24/25,"LDMF, RCMF, RDMF",39.0,172,Croatia,Croatia,2025-06-30,right,31,1656,78.36,93.98,72.72,96.25,91.81,18.44,40.56,40.99
28,Dani Ceballos,Real Madrid,Real Madrid,España | Primera División 24/25,"RDMF, LCMF, LDMF",28.0,179,Spain,Spain,2027-06-30,right,19,1068,40.14,54.42,65.59,95.75,95.75,39.97,33.81,58.88
29,Iñigo Ruiz de Galarreta,Athletic Bilbao,Athletic Bilbao,España | Primera División 24/25,"RDMF, LDMF",31.0,174,Spain,Spain,2025-06-30,right,22,1325,32.97,86.12,57.53,85.06,67.0,36.6,13.88,21.62
30,R. Tapia,Leganés,Leganés,España | Primera División 24/25,"RCMF, RDMF, LCB",29.0,185,Peru,"Peru, Netherlands",2026-06-30,right,30,2292,54.1,25.21,83.84,23.84,29.38,31.88,41.34,81.22
31,Iker Muñoz,Osasuna,Osasuna,España | Primera División 24/25,"DMF, RCMF, LDMF",22.0,180,Spain,Spain,2027-06-30,right,19,604,28.07,28.6,61.5,34.62,34.38,69.72,74.41,37.12
32,Ander Guevara,Deportivo Alavés,Deportivo Alavés,España | Primera División 24/25,"LDMF, RDMF, LCMF",27.0,180,Spain,Spain,2027-06-30,right,30,1893,28.18,48.35,39.22,47.03,28.31,52.0,68.56,67.82
33,Mikel Vesga,Athletic Bilbao,Athletic Bilbao,España | Primera División 24/25,"LDMF, LCMF",32.0,191,Spain,Spain,2027-06-30,left,22,983,46.98,49.06,19.06,61.28,38.22,49.63,21.62,44.02
34,Lucas Torró,Osasuna,Osasuna,España | Primera División 24/25,"DMF, LCMF, LDMF",30.0,190,Spain,Spain,2027-06-30,right,31,2881,74.78,21.77,26.81,31.06,42.28,95.48,61.56,52.4
35,E. Loiodice,Las Palmas,Las Palmas,España | Primera División 24/25,"RDMF, RCMF",24.0,176,France,France,2026-06-30,left,15,581,33.09,22.22,24.5,28.66,47.62,52.85,45.0,29.22
36,Óscar Valentín,Rayo Vallecano,Rayo Vallecano,España | Primera División 24/25,"RDMF, LDMF, LCMF",30.0,177,Spain,Spain,2027-06-30,right,32,1967,23.38,44.21,52.19,48.97,46.09,45.5,71.44,74.85
37,N. Gudelj,Sevilla,Sevilla,España | Primera División 24/25,"LCB, RDMF, LDMF",33.0,187,Serbia,"Serbia, Netherlands",2026-06-30,right,27,2407,30.37,36.63,37.5,24.38,48.97,78.13,53.69,63.31
38,Luis Milla,Getafe,Getafe,España | Primera División 24/25,"LCMF, RCMF, DMF",30.0,175,Spain,Spain,2027-06-30,right,30,2870,52.0,71.04,86.34,63.94,29.09,46.32,43.12,36.41
39,Joan Jordán,Deportivo Alavés,Deportivo Alavés,España | Primera División 24/25,"RDMF, RCMF, LCMF",30.0,185,Spain,Spain,2027-06-30,right,23,1509,91.33,69.13,46.47,57.69,62.16,52.16,33.56,35.65
40,Dário Essugo,Las Palmas,Las Palmas,España | Primera División 24/25,"RDMF, RCMF, LDMF",20.0,178,Portugal,"Portugal, Angola",2027-06-30,right,23,1840,56.2,29.72,79.81,41.94,52.69,70.5,77.81,81.3
41,William Carvalho,Real Betis,Real Betis,España | Primera División 24/25,"LDMF, RDMF",33.0,187,Angola,"Angola, Portugal",2026-06-30,right,10,428,29.26,34.07,37.56,63.91,85.44,56.1,46.31,31.14
42,Unai López,Rayo Vallecano,Rayo Vallecano,España | Primera División 24/25,"LDMF, LCMF, RDMF",29.0,170,Spain,Spain,2026-06-30,right,29,1682,75.32,61.55,37.59,75.59,69.44,48.73,27.0,66.0
43,Gerard Gumbau,Rayo Vallecano,Rayo Vallecano,España | Primera División 24/25,"LDMF, LCMF, AMF",30.0,187,Spain,Spain,2027-06-30,left,20,898,52.2,49.15,35.16,30.28,22.44,65.75,79.06,34.08
44,Javi Muñoz,Las Palmas,Las Palmas,España | Primera División 24/25,"AMF, RCMF, RDMF",30.0,179,Spain,Spain,2025-06-30,right,33,2769,56.87,86.52,49.78,52.31,46.5,18.25,46.25,38.76
45,José Gragera,Espanyol,Espanyol,España | Primera División 24/25,"LCMF, RDMF, DMF",24.0,187,Spain,Spain,2028-06-30,right,10,635,23.72,14.03,43.47,11.78,25.62,66.22,54.56,54.4
46,Manu Morlanes,Mallorca,Mallorca,España | Primera División 24/25,"RCMF, LCMF, LDMF",26.0,178,Spain,Spain,2028-06-30,right,21,1416,30.49,49.24,45.41,64.44,68.69,35.32,78.81,66.23
