,Player,Team,Team within selected timeframe,Liga,Position,Age,Height,Birth country,Passport country,Contract expires,Foot,Matches played,Minutes played,Gol y Finalización,Asistencias y creación de chances,1v1 en ataque,Centros,Juego asociado,Juego aéreo,Defensa
0,J. Bellingham,Real Madrid,Real Madrid,España | Primera División 24/25,"AMF, LW, LCMF",21.0,186,England,"England, Republic of Ireland",2029-06-30,right,28,2413,85.19,82.38,86.64,51.68,73.28,49.4,51.11
1,F. Valverde,Real Madrid,Real Madrid,España | Primera División 24/25,"RDMF, LDMF, RB",26.0,182,Uruguay,"Uruguay, Spain",2029-06-30,right,32,2916,79.29,78.94,39.64,36.92,85.1,64.89,50.01
2,E. Camavinga,Real Madrid,Real Madrid,España | Primera División 24/25,"LCMF, LB, LDMF",22.0,185,Angola,"Angola, France",2029-06-30,left,19,1222,51.05,38.76,79.92,72.96,65.79,72.71,90.47
3,Pedri,Barcelona,Barcelona,España | Primera División 24/25,"LDMF, LCMF",22.0,174,Spain,Spain,2030-06-30,right,33,2796,75.96,89.87,88.62,63.68,89.18,15.23,49.58
4,F. de Jong,Barcelona,Barcelona,España | Primera División 24/25,"RDMF, LDMF, DMF",27.0,181,Netherlands,Netherlands,2026-06-30,right,22,1019,66.25,80.36,66.74,82.44,69.1,61.43,45.61
5,Dani Olmo,Barcelona,Barcelona,España | Primera División 24/25,"AMF, RCMF",26.0,179,Spain,Spain,2030-06-30,right,21,1139,97.18,90.95,74.76,56.96,66.24,44.67,15.34
6,Martín Zubimendi,Real Sociedad,Real Sociedad,España | Primera División 24/25,"DMF, RCMF",26.0,181,Spain,Spain,2027-06-30,right,32,2937,61.3,47.95,41.9,28.52,74.4,81.11,74.9
7,Brais Méndez,Real Sociedad,Real Sociedad,España | Primera División 24/25,"RCMF, CF",28.0,187,Spain,Spain,2028-06-30,left,24,1503,81.8,70.32,67.32,63.64,65.84,64.21,20.02
8,Oihan Sancet,Athletic Bilbao,Athletic Bilbao,España | Primera División 24/25,"AMF, CF",25.0,188,Spain,Spain,2032-06-30,right,25,1588,98.72,58.37,88.14,50.2,46.38,55.88,15.32
9,R. De Paul,Atlético Madrid,Atlético Madrid,España | Primera División 24/25,"RCMF, RW",30.0,180,Argentina,"Argentina, Italy",2026-06-30,right,30,1963,61.45,90.03,71.86,81.36,88.5,33.23,24.9
10,Y. Herrera,Girona,Girona,España | Primera División 24/25,"LDMF, RCMF, LCMF",27.0,184,Venezuela,"Venezuela, Spain",2027-06-30,right,26,2191,81.14,64.65,76.72,60.12,52.48,79.86,71.8
11,Johnny Cardoso,Real Betis,Real Betis,España | Primera División 24/25,"RDMF, LDMF, RCMF",23.0,186,United States,"United States, Italy",2029-06-30,right,25,2143,72.04,35.49,59.36,22.12,42.56,82.05,85.9
12,Pepelu,Valencia,Valencia,España | Primera División 24/25,"LCMF, RCMF",26.0,185,Spain,Spain,2028-06-30,right,31,1766,46.5,61.98,38.02,73.12,66.12,57.95,28.72
13,Javi Guerra,Valencia,Valencia,España | Primera División 24/25,"RCMF, RDMF, LCMF",21.0,187,Spain,Spain,2027-06-30,right,33,2533,72.26,72.3,65.34,64.0,43.04,26.63,29.52
14,Beñat Turrientes,Real Sociedad,Real Sociedad,España | Primera División 24/25,"LCMF, RCMF",23.0,181,Spain,Spain,2030-06-30,right,18,897,34.23,22.09,79.78,40.88,28.6,50.87,62.84
15,A. Zakharyan,Real Sociedad,Real Sociedad,España | Primera División 24/25,"RCMF, LW, LCMF",21.0,182,Russia,Russia,2029-06-30,right,3,83,81.48,30.69,5.04,9.36,54.31,5.59,23.28
16,G. Lo Celso,Real Betis,Real Betis,España | Primera División 24/25,"AMF, CF, RAMF",29.0,177,Argentina,"Argentina, Italy",2028-06-30,left,22,1456,95.22,90.71,70.32,83.68,82.81,21.19,38.57
17,A. Sambi Lokonga,Sevilla,Sevilla,España | Primera División 24/25,"LDMF, DMF",25.0,183,Belgium,"Belgium, Congo DR",2026-06-30,right,20,1534,33.15,40.99,56.22,9.88,75.02,59.75,46.44
18,Juanlu Sánchez,Sevilla,Sevilla,España | Primera División 24/25,"AMF, RB, CF",21.0,183,Spain,Spain,2029-06-30,right,28,1546,83.5,66.94,35.9,62.96,22.24,66.29,45.72
19,L. Sučić,Real Sociedad,Real Sociedad,España | Primera División 24/25,"LCMF, RCMF",22.0,185,Austria,"Austria, Croatia",2029-06-30,left,25,1740,63.99,71.97,73.34,50.72,38.1,47.25,27.53
20,André Almeida,Valencia,Valencia,España | Primera División 24/25,"AMF, CF, LW",24.0,176,Portugal,Portugal,2028-06-30,right,31,1928,26.86,80.89,70.34,81.2,66.84,10.47,44.58
21,Beñat Prados,Athletic Bilbao,Athletic Bilbao,España | Primera División 24/25,"LDMF, RDMF, RCMF",24.0,178,Spain,Spain,2031-06-30,right,28,1740,51.6,43.75,48.3,81.32,52.95,75.79,83.18
22,Aimar Oroz,Osasuna,Osasuna,España | Primera División 24/25,"LCMF, CF",23.0,177,Spain,Spain,2029-06-30,right,33,2828,82.54,68.68,77.94,38.8,45.3,29.43,26.41
23,Arthur,Girona,Girona,España | Primera División 24/25,"DMF, RCMF, RDMF",28.0,171,Brazil,Brazil,2027-06-30,right,11,715,28.25,29.76,75.26,30.76,55.6,13.91,32.76
24,Iván Martín,Girona,Girona,España | Primera División 24/25,"RDMF, RCMF",26.0,178,Spain,Spain,2028-06-30,left,28,2002,47.64,63.33,62.6,62.96,63.8,29.79,24.4
25,Pablo Fornals,Real Betis,Real Betis,España | Primera División 24/25,"RDMF, RAMF, RW",29.0,178,Spain,Spain,2029-06-30,right,22,1660,59.44,55.48,38.18,72.92,83.0,72.59,28.91
26,Kirian Rodríguez,Las Palmas,Las Palmas,España | Primera División 24/25,"AMF, LDMF, LCMF",28.0,180,Spain,Spain,2028-06-30,right,21,1878,45.03,60.24,19.34,67.8,82.18,26.43,41.82
27,Koke,Atlético Madrid,Atlético Madrid,España | Primera División 24/25,"LCMF, DMF, RCMF",33.0,176,Spain,Spain,2025-06-30,right,28,1766,53.86,58.0,27.4,65.44,74.24,60.39,62.98
28,Stefan Bajčetić,Las Palmas,Las Palmas,España | Primera División 24/25,"LCMF, LDMF, RCMF",20.0,185,Spain,"Spain, Serbia",2027-06-30,right,12,898,50.39,43.42,55.54,66.44,54.53,54.29,87.95
29,N. Fekir,Al Jazira,Real Betis,España | Primera División 24/25,AMF,31.0,173,France,"France, Algeria",2026-06-30,left,2,193,47.55,81.7,80.56,92.0,40.62,8.11,63.61
30,Samú Costa,Mallorca,Mallorca,España | Primera División 24/25,"LCMF, RCMF, DMF",24.0,185,Portugal,Portugal,2028-06-30,left,28,2504,41.29,40.88,39.34,73.04,45.9,91.51,74.99
31,Marc Roca,Real Betis,Real Betis,España | Primera División 24/25,"LDMF, RDMF, LCMF",28.0,184,Spain,Spain,2029-06-30,left,14,987,75.59,59.32,7.68,38.16,56.74,22.55,70.0
32,J. Bamba,Chicago Fire,Celta de Vigo,España | Primera División 24/25,"AMF, LWF, LW",28.0,175,France,"France, Côte d'Ivoire",2026-06-30,right,12,886,43.49,82.36,84.64,80.72,53.88,26.27,38.78
33,D. Sow,Sevilla,Sevilla,España | Primera División 24/25,"LCMF, RDMF, AMF",28.0,184,Switzerland,"Switzerland, Senegal",2028-06-30,right,27,2040,53.88,45.1,32.8,61.52,36.62,57.75,31.86
34,Hugo Guillamón,Valencia,Valencia,España | Primera División 24/25,"RCMF, LCMF",25.0,178,Spain,Spain,2026-06-30,right,12,435,24.18,19.21,33.42,10.52,37.2,17.11,41.9
35,Isi Palazón,Rayo Vallecano,Rayo Vallecano,España | Primera División 24/25,"AMF, CF",30.0,169,Spain,Spain,2028-06-30,left,31,1991,76.81,72.96,60.66,47.36,46.14,35.87,23.48
36,Isco,Real Betis,Real Betis,España | Primera División 24/25,"AMF, CF",33.0,176,Spain,Spain,2027-06-30,right,18,1447,93.44,95.21,77.52,69.92,84.52,45.62,15.14
37,E. Barrenechea,Valencia,Valencia,España | Primera División 24/25,"LCMF, LDMF, RCMF",23.0,186,Argentina,Argentina,2025-06-30,right,26,2053,53.52,40.23,55.28,40.56,52.62,86.27,78.15
38,Saúl Ñíguez,Sevilla,Sevilla,España | Primera División 24/25,"AMF, LDMF, LCMF",30.0,183,Spain,Spain,2026-06-30,left,22,1597,65.18,76.89,38.44,54.24,37.6,80.43,70.67
39,Antonio Blanco,Deportivo Alavés,Deportivo Alavés,España | Primera División 24/25,"LDMF, LCMF, RDMF",24.0,176,Spain,Spain,2027-06-30,right,31,2632,27.51,55.17,31.98,77.2,48.17,53.57,76.1
40,Jon Moncayola,Osasuna,Osasuna,España | Primera División 24/25,"RCMF, RDMF",26.0,182,Spain,Spain,2031-06-30,right,30,2217,39.4,70.45,31.32,78.4,37.66,37.07,54.55
41,F. Grillitsch,Real Valladolid,Real Valladolid,España | Primera División 24/25,"LCMF, RCMF, RDMF",29.0,187,Austria,Austria,2026-06-30,right,10,531,28.03,48.02,46.14,11.32,43.48,48.59,22.71
42,L. Agoumé,Sevilla,Sevilla,España | Primera División 24/25,"RDMF, DMF, RCMF",23.0,185,Cameroon,"Cameroon, France",2028-06-30,right,31,1939,48.85,62.68,57.06,43.24,69.79,86.49,62.85
43,Santi Comesaña,Villarreal,Villarreal,España | Primera División 24/25,RCMF,28.0,184,Spain,Spain,2027-06-30,right,32,2614,70.86,70.04,59.88,68.56,63.25,59.72,86.37
