,Player,Team,Team within selected timeframe,Liga,Position,Age,Height,Birth country,Passport country,Contract expires,Foot,Matches played,Minutes played,Gol y Finalización,Asistencias y creación de chances,1v1 en ataque,Centros,Juego asociado,Juego aéreo,Defensa
0,J. Bellingham,Real Madrid,Real Madrid,España | Primera División 24/25,"AMF, LW, LCMF",21.0,186,England,"England, Republic of Ireland",2029-06-30,right,28,2413,83.78,80.34,86.35,46.15,76.41,55.87,56.57
1,E. Camavinga,Real Madrid,Real Madrid,España | Primera División 24/25,"LCMF, LB, LDMF",22.0,185,Angola,"Angola, France",2029-06-30,left,19,1222,47.8,35.55,73.97,71.28,72.28,78.08,92.14
2,Dani Olmo,Barcelona,Barcelona,España | Primera División 24/25,"AMF, RCMF",26.0,179,Spain,Spain,2030-06-30,right,21,1139,96.38,90.5,74.04,53.21,70.13,49.94,18.58
3,Brais Méndez,Real Sociedad,Real Sociedad,España | Primera División 24/25,"RCMF, CF",28.0,187,Spain,Spain,2028-06-30,left,24,1503,79.96,67.15,62.79,59.17,67.82,69.37,24.62
4,Oihan Sancet,Athletic Bilbao,Athletic Bilbao,España | Primera División 24/25,"AMF, CF",25.0,188,Spain,Spain,2032-06-30,right,25,1588,98.38,54.99,89.84,44.94,46.89,61.09,17.19
5,R. De Paul,Atlético Madrid,Atlético Madrid,España | Primera División 24/25,"RCMF, RW",30.0,180,Argentina,"Argentina, Italy",2026-06-30,right,30,1963,59.68,88.68,64.74,80.26,91.41,36.29,29.55
6,Pepelu,Valencia,Valencia,España | Primera División 24/25,"LCMF, RCMF",26.0,185,Spain,Spain,2028-06-30,right,31,1766,42.08,59.43,36.89,68.53,72.34,64.56,34.66
7,Javi Guerra,Valencia,Valencia,España | Primera División 24/25,"RCMF, RDMF, LCMF",21.0,187,Spain,Spain,2027-06-30,right,33,2533,69.3,68.64,60.06,59.74,49.97,29.69,36.49
8,Beñat Turrientes,Real Sociedad,Real Sociedad,España | Primera División 24/25,"LCMF, RCMF",23.0,181,Spain,Spain,2030-06-30,right,18,897,29.93,20.06,78.24,34.04,34.17,57.12,68.72
9,A. Zakharyan,Real Sociedad,Real Sociedad,España | Primera División 24/25,"RCMF, LW, LCMF",21.0,182,Russia,Russia,2029-06-30,right,3,83,80.33,29.62,4.01,7.12,57.16,6.61,26.52
10,G. Lo Celso,Real Betis,Real Betis,España | Primera División 24/25,"AMF, CF, RAMF",29.0,177,Argentina,"Argentina, Italy",2028-06-30,left,22,1456,93.49,89.76,62.82,83.21,86.07,23.02,43.19
11,Aimar Oroz,Osasuna,Osasuna,España | Primera División 24/25,"LCMF, CF",23.0,177,Spain,Spain,2029-06-30,right,33,2828,80.26,65.62,76.22,32.44,45.87,32.44,31.1
12,André Almeida,Valencia,Valencia,España | Primera División 24/25,"AMF, CF, LW",24.0,176,Portugal,Portugal,2028-06-30,right,31,1928,24.73,77.9,66.76,80.13,68.24,12.44,50.48
